,pl-name,pl-letter,hostname,hd-name,hip-name,tic-id,gaia-id,pl-orbsmax,pl-orbsmaxerr1,pl-orbsmaxerr2,pl-rade,pl-radeerr1,pl-radeerr2,pl-bmasse,pl-bmasseerr1,pl-bmasseerr2,pl-radj,pl-radjerr1,pl-radjerr2,pl-bmassj,pl-bmassjerr1,pl-bmassjerr2,pl-bmassprov,pl-orbeccen,pl-orbeccenerr1,pl-orbeccenerr2,pl-orbper,pl-orbpererr1,pl-orbpererr2,st-spectype,st-age,st-ageerr1,st-ageerr2,st-met,st-meterr1,st-meterr2,st-metratio,st-lum,st-lumerr1,st-lumerr2,st-teff,st-tefferr1,st-tefferr2,st-rad,st-raderr1,st-raderr2,st-mass,st-masserr1,st-masserr2,st-vsin,st-vsinerr1,st-vsinerr2,st-rotp,st-rotperr1,st-rotperr2,sy-dist,sy-disterr1,sy-disterr2,sy-vmag,sy-vmagerr1,sy-vmagerr2,sy-kmag,sy-kmagerr1,sy-kmagerr2,sy-snum,sy-pnum,sy-mnum,KIC,koi-name,kepler-name,KOI,TIC,GAIA,e_pl_orbsmax,e_pl_rade,e_pl_bmasse,e_pl_radj,e_pl_bmassj,e_pl_orbeccen,e_pl_orbper,e_st_age,e_st_met,e_st_lum,e_st_teff,e_st_rad,e_st_mass,e_st_vsin,e_st_rotp,e_sy_dist,e_sy_vmag,e_sy_kmag,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
442,HAT-P-6 b,b,HAT-P-6,,,TIC 176899385,Gaia DR2 1925321658546436352,0.05239,0.0008,-0.00082,16.589,1.681,-1.681,419.5356,95.349,-95.349,1.48,0.15,-0.15,1.32,0.3,-0.3,Mass,0.0,,,3.85298,5e-06,-5e-06,,2.3,0.5,-0.7,-0.13,,,[Fe/H],0.553,0.059,-0.056,6570.0,80.0,-80.0,1.62,0.17,-0.17,1.79,0.6,-0.6,7.8,0.6,-0.6,,,,275.358,3.636,-3.545,10.469,0.005,-0.005,9.313,0.019,-0.019,1,1,0,-1,,,-1,176899385,1.9253216585464364e+18,0.00082,1.681,95.349,0.15,0.3,,5e-06,0.7,,0.059,80.0,0.17,0.6,0.6,,3.636,0.005,0.019,-16.054852132423257,,,,,
443,2M0437 b,b,2MASS J04372171+2651014,,,TIC 125843782,Gaia DR2 151499478104075008,118.0,1.3,-1.3,13.0,,,1271.31363,317.82841,-317.82841,1.16,,,4.0,1.0,-1.0,Mass,,,,,,,M V,0.003,0.0,-0.0,0.01,0.05,-0.05,[Fe/H],-1.164,0.003,-0.003,3100.0,100.0,-100.0,0.84,0.11,-0.11,0.17,0.01,-0.02,22.54,0.14,-0.14,1.84,,,128.484,1.196,-1.174,16.186,1.133,-1.133,10.386,0.018,-0.018,1,1,0,-1,,,-1,125843782,1.51499478104075e+17,1.3,,317.82841,,1.0,,,0.0,0.05,0.003,100.0,0.11,0.02,0.14,,1.196,1.133,0.018,-17.109754832677012,M,, V,,M V
444,HAT-P-8 b,b,HAT-P-8,,,TIC 188876052,Gaia DR2 1891507552824189568,0.04496,0.00046,-0.00045,15.693,1.457,-1.457,406.8224,85.8141,-85.8141,1.4,0.13,-0.13,1.28,0.27,-0.27,Mass,0.0,,,3.07634,4e-06,-4e-06,F6,3.4,1.0,-1.0,0.01,,,[Fe/H],0.519,0.05,,6200.0,80.0,-80.0,1.57,0.15,-0.15,1.27,0.41,-0.41,11.5,0.5,-0.5,,,,211.553,1.709,-1.682,10.358,0.005,-0.005,8.953,0.013,-0.013,3,1,0,-1,,,-1,188876052,1.8915075528241892e+18,0.00046,1.457,85.8141,0.13,0.27,,4e-06,1.0,,,80.0,0.15,0.41,0.5,,1.709,0.005,0.013,-15.859895111977302,F,6.0,,36.0,F6 
445,KMT-2019-BLG-1953L b,b,KMT-2019-BLG-1953L,,,,,,,,14.1,,,200.0,240.0,-110.0,1.26,,,0.64,0.76,-0.35,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.37,-0.17,,,,,,,7040.0,1100.0,-1330.0,,,,,,,1,1,0,-1,,,-1,-1,,,,240.0,,0.76,,,,,,,,0.37,,,1330.0,,,,,,,,
446,Kepler-27 b,b,Kepler-27,,,TIC 137556626,Gaia DR2 2053586321364864640,0.118,,,4.0,,,2895.31,,,0.357,,,9.11,,,Mass,0.0,,,15.3348,,,,1.62,0.978,-0.466,0.41,0.04,-0.04,[M/H],-0.329,,,5400.0,60.0,-60.0,0.59,0.15,-0.15,0.65,0.16,-0.16,0.6,5.0,-5.0,,,,1044.36,39.645,-39.645,15.822,0.069,-0.069,14.118,0.065,-0.065,1,3,0,5792202,K00841.01,Kepler-27 b,841,137556626,2.0535863213648645e+18,,,,,,,,0.978,0.04,,60.0,0.15,0.16,5.0,,39.645,0.069,0.065,-18.09475719437102,,,,,
447,Qatar-1 b,b,Qatar-1,,,TIC 236887394,Gaia DR2 2244830490514284928,0.02332,0.0004,-0.0004,12.812,0.291,-0.28,411.27202,16.52716,-15.57367,1.143,0.026,-0.025,1.294,0.052,-0.049,Mass,0.0,,,1.4200242,2.2e-07,-2.2e-07,,1.19,0.47,-0.47,0.171,0.097,-0.094,[Fe/H],-0.438,0.045,-0.042,5013.0,93.0,-88.0,0.8,0.02,-0.02,0.84,0.04,-0.04,1.76,0.21,-0.21,23.7,0.1,-0.1,185.615,0.805,-0.797,12.692,0.103,-0.103,10.409,0.017,-0.017,1,1,0,-1,,,-1,236887394,2.244830490514285e+18,0.0004,0.291,16.52716,0.026,0.052,,2.2e-07,0.47,0.097,0.045,93.0,0.02,0.04,0.21,0.1,0.805,0.103,0.017,-16.703282874621785,,,,,
448,WASP-19 b,b,WASP-19,,,TIC 35516889,Gaia DR2 5411736896952029568,0.01652,0.0005,-0.00056,15.861,0.493,-0.538,366.77398,24.79062,-25.42627,1.415,0.044,-0.048,1.154,0.078,-0.08,Mass,0.0126,0.014,-0.0089,0.78883852,7.5e-07,-8.2e-07,G8 V,6.4,4.1,-3.5,0.04,0.25,-0.3,[Fe/H],-0.043,0.033,-0.034,5616.0,66.0,-65.0,1.01,0.03,-0.03,0.97,0.09,-0.1,4.63,0.26,-0.26,10.5,0.2,-0.2,268.325,1.72,-1.698,12.248,0.069,-0.069,10.481,0.023,-0.023,1,1,0,-1,,,-1,35516889,5.411736896952029e+18,0.00056,0.538,25.42627,0.048,0.08,0.014,8.2e-07,4.1,0.3,0.034,66.0,0.03,0.1,0.26,0.2,1.72,0.069,0.023,-16.628379011296115,G,8.0, V,28.0,G8  V
449,WASP-78 b,b,WASP-78,,,TIC 139528693,Gaia DR2 5089851638095503616,0.03488,0.0007,-0.00076,21.633,5.044,-5.044,352.7913,171.6282,-171.6282,1.93,0.45,-0.45,1.11,0.54,-0.54,Mass,0.0,,,2.17518,5e-06,-5e-06,,2.8,1.6,-0.3,-0.35,,,[Fe/H],0.763,0.016,-0.016,6100.0,150.0,-150.0,2.46,0.58,-0.58,1.87,1.36,-1.36,7.1,0.5,-0.5,,,,754.258,17.102,-16.373,11.965,0.022,-0.022,11.008,0.023,-0.023,1,1,0,-1,,,-1,139528693,5.089851638095503e+18,0.00076,5.044,171.6282,0.45,0.54,,5e-06,1.6,,0.016,150.0,0.58,1.36,0.5,,17.102,0.022,0.023,-16.72009658561971,,,,,
450,KMT-2016-BLG-2364L b,b,KMT-2016-BLG-2364L,,,,,2.63,0.46,-0.65,13.0,,,1250.0,1000.0,-690.0,1.16,,,3.93,3.16,-2.17,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,-0.27,,,,,,,6440.0,1130.0,-1600.0,,,,,,,1,1,0,-1,,,-1,-1,,0.65,,1000.0,,3.16,,,,,,,,0.4,,,1600.0,,,,,,,,
451,HD 48265 b,b,HD 48265,HD 48265,HIP 31895,TIC 255781806,Gaia DR2 5551551998119947648,1.814,0.03,-0.031,13.5,,,484.69075,15.57367,-15.8915,1.21,,,1.525,0.049,-0.05,Msini,0.211,0.089,-0.096,778.51,5.38,-5.18,G5 IV/V,4.201,0.625,-0.625,0.3,0.04,-0.04,[Fe/H],0.584,0.021,-0.022,5733.0,55.0,-55.0,1.9,0.13,-0.13,1.31,0.06,-0.06,3.1,0.3,-0.3,45.0,,,90.5446,0.2702,-0.2687,8.05,0.03,-0.03,6.449,0.02,-0.02,1,1,0,-1,,,-1,255781806,5.551551998119947e+18,0.031,,15.8915,,0.05,0.096,5.38,0.625,0.04,0.022,55.0,0.13,0.06,0.3,,0.2702,0.03,0.02,-15.057781844197015,G,5.0, IV,25.0,G5  IV
452,KMT-2017-BLG-1146L b,b,KMT-2017-BLG-1146L,,,,,1.6,0.6,-0.6,14.0,,,230.0,250.0,-130.0,1.25,,,0.71,0.8,-0.42,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.36,-0.2,,,,,,,6500.0,1400.0,-2000.0,,,,,,,1,1,0,-1,,,-1,-1,,0.6,,250.0,,0.8,,,,,,,,0.36,,,2000.0,,,,,,,,
453,KMT-2018-BLG-1990L b,b,KMT-2018-BLG-1990L,,,,,0.763,0.219,-0.145,12.9,,,111.0,42.0,-28.0,1.16,,,0.348,0.132,-0.087,Mass,,,,,,,M,,,,,,,,,,,,,,,,,0.09,0.04,-0.02,,,,,,,967.0,308.0,-212.0,,,,,,,1,1,0,-1,,,-1,-1,,0.219,,42.0,,0.132,,,,,,,,0.04,,,308.0,,,,M,,,,M
454,K2-140 b,b,K2-140,,,TIC 380255458,Gaia DR2 3579426053724051584,0.068,0.001,-0.001,13.563,1.009,-1.009,295.58042,12.71314,-12.71314,1.21,0.09,-0.09,0.93,0.04,-0.04,Mass,0.0,,,6.569188,3.1e-05,-3.1e-05,G6 V,9.8,3.4,-4.6,0.1,0.1,-0.1,[Fe/H],-0.049,0.023,-0.024,5585.0,120.0,-120.0,1.06,0.07,-0.06,0.96,0.06,-0.04,3.6,1.0,-1.0,14.6,4.1,-4.1,347.917,8.287,-7.917,12.727,0.092,-0.092,10.995,0.021,-0.021,1,1,0,-1,,,-1,380255458,3.5794260537240515e+18,0.001,1.009,12.71314,0.09,0.04,,3.1e-05,4.6,0.1,0.024,120.0,0.07,0.06,1.0,4.1,8.287,0.092,0.021,-16.86000803495575,G,6.0, V,26.0,G6  V
455,WASP-39 b,b,WASP-39,,,TIC 181949561,Gaia DR2 3643098875168270592,0.0486,0.0005,-0.0005,14.235,0.448,-0.448,88.989,9.535,-9.535,1.27,0.04,-0.04,0.28,0.03,-0.03,Mass,0.0,,,4.055259,9e-06,-9e-06,,9.0,3.0,-4.0,0.01,0.09,-0.09,[Fe/H],-0.128,0.019,-0.013,5400.0,150.0,,0.9,0.02,-0.02,0.93,0.03,,1.4,0.6,,,,,213.982,1.76,-1.731,12.095,0.252,-0.252,10.202,0.023,-0.023,1,1,0,-1,,,-1,181949561,3.6430988751682703e+18,0.0005,0.448,9.535,0.04,0.03,,9e-06,4.0,0.09,0.019,,0.02,,,,1.76,0.252,0.023,-16.51681121997195,,,,,
456,KOI-3680 b,b,KOI-3680,,,TIC 275574174,Gaia DR2 2126518783059463168,0.534,0.012,-0.03,11.097,0.673,-0.785,613.4119,60.3877,-66.7443,0.99,0.06,-0.07,1.93,0.19,-0.21,Mass,0.496,0.031,-0.031,141.241671,8.6e-05,-8.6e-05,,3.2,9.6,-2.3,0.16,0.07,-0.07,[Fe/H],0.068,,,5830.0,100.0,-100.0,0.96,0.05,-0.06,1.01,0.07,-0.16,3.5,1.0,-1.0,,,,921.986,23.3845,-23.3845,14.616,0.103,-0.103,13.101,0.039,-0.039,1,1,0,9025971,K03680.01,Kepler-1657 b,3680,275574174,2.1265187830594632e+18,0.03,0.785,66.7443,0.07,0.21,0.031,8.6e-05,9.6,0.07,,100.0,0.06,0.16,1.0,,23.3845,0.103,0.039,-17.589505388251805,,,,,
457,TOI-4153 b,b,TOI-4153,,,TIC 470171739,Gaia DR2 2299246592282070400,0.06311,0.00084,-0.00096,16.119,0.504,-0.471,365.50267,57.20911,-57.20911,1.438,0.045,-0.042,1.15,0.18,-0.18,Mass,0.039,0.047,-0.028,4.6174141,1.5e-06,-1.5e-06,,0.4,0.53,-0.28,0.317,0.1,-0.13,[Fe/H],0.713,0.034,-0.049,6860.0,150.0,-180.0,1.6,0.05,-0.05,1.57,0.06,-0.07,9.44,0.22,-0.22,,,,423.84,3.665,-3.604,11.601,0.016,-0.016,10.296,0.021,-0.021,1,1,0,-1,,,-1,470171739,2.2992465922820705e+18,0.00096,0.504,57.20911,0.045,0.18,0.047,1.5e-06,0.53,0.13,0.049,180.0,0.05,0.07,0.22,,3.665,0.016,0.021,-16.269460617137426,,,,,
458,Kepler-849 b,b,Kepler-849,,,TIC 417659078,Gaia DR2 2129512821938786176,1.137,0.034,-0.03,8.082,0.303,-0.325,298.7587,63.56568,-63.56568,0.721,0.027,-0.029,0.94,0.2,-0.2,Mass,0.078,0.069,-0.053,394.62508,0.00081,-0.00079,,4.7,1.8,-1.6,0.145,0.059,-0.058,[Fe/H],0.573,0.028,-0.029,5950.0,140.0,-130.0,1.82,0.07,-0.07,1.26,0.12,-0.1,,,,,,,822.134,16.333,-15.719,12.878,0.092,-0.092,11.527,0.023,-0.023,1,1,0,11027624,K01439.01,Kepler-849 b,1439,417659078,2.1295128219387863e+18,0.034,0.325,63.56568,0.029,0.2,0.069,0.00081,1.8,0.059,0.029,140.0,0.07,0.12,,,16.333,0.092,0.023,-16.984941953565876,,,,,
459,Kepler-111 c,c,Kepler-111,,,TIC 63001143,Gaia DR2 2126569051355142656,0.751,0.013,-0.016,7.084,0.258,-0.235,222.47988,44.49598,-41.31769,0.632,0.023,-0.021,0.7,0.14,-0.13,Mass,0.176,0.08,-0.085,224.77833,0.00026,-0.00026,,3.4,3.1,-2.2,0.237,0.058,-0.059,[Fe/H],0.158,0.032,-0.028,5914.0,81.0,-82.0,1.15,0.04,-0.04,1.12,0.06,-0.07,,,,,,,657.223,6.014,-5.908,13.543,0.069,-0.069,12.11,0.023,-0.023,1,2,0,8559644,K00139.01,Kepler-111 c,139,63001143,2.126569051355143e+18,0.016,0.258,44.49598,0.023,0.14,0.085,0.00026,3.1,0.059,0.032,82.0,0.04,0.07,,,6.014,0.069,0.023,-17.20548224219569,,,,,
460,TOI-1601 b,b,TOI-1601,,,TIC 139375960,Gaia DR2 338382713564401920,0.069,0.001,-0.001,14.199,0.649,-0.511,387.0,16.0,-17.0,1.267,0.058,-0.046,1.21764,0.05034,-0.05349,Mass,0.0,,,5.33175,0.00014,-0.00014,,2.4,0.4,-0.2,0.343,0.052,-0.058,[Fe/H],0.748,0.03,-0.031,5982.0,78.0,-64.0,2.2,0.06,-0.06,1.51,0.03,-0.05,6.4,0.5,-0.5,,,,336.608,8.389,-7.998,10.66,0.006,-0.006,9.191,0.014,-0.014,1,1,0,-1,,,-1,139375960,3.383827135644019e+17,0.001,0.649,17.0,0.058,0.05349,,0.00014,0.4,0.058,0.031,78.0,0.06,0.05,0.5,,8.389,0.006,0.014,-16.03430560209105,,,,,
461,HD 160691 e,e,HD 160691,HD 160691,HIP 86796,TIC 362661163,Gaia DR2 5945941905576552064,0.934,,,,,,2224.79885,,,,,,7.0,,,Mass,0.0666,0.0122,-0.0122,307.9,0.3,-0.3,G3 IV-V,5.7,0.6,-0.6,0.28,0.03,-0.03,[Fe/H],0.278,0.01,-0.013,5773.0,,,1.33,0.02,-0.02,1.13,0.02,-0.02,3.1,0.5,-0.5,,,,15.5981,0.0296,-0.0294,5.12,0.03,-0.03,3.683,0.246,-0.246,1,4,0,-1,,,-1,362661163,5.945941905576552e+18,,,,,,0.0122,0.3,0.6,0.03,0.013,,0.02,0.02,0.5,,0.0296,0.03,0.246,-13.836200135815705,G,3.0, IV,23.0,G3  IV
462,TOI-1820 b,b,TOI-1820,,,TIC 393831507,Gaia DR2 4009018273332089088,0.061,0.003,-0.003,12.778,0.224,-0.224,731.00534,63.56568,-63.56568,1.14,0.02,-0.02,2.3,0.2,-0.2,Mass,0.043,0.008,-0.008,4.860674,5e-06,-5e-06,,11.0,2.0,-2.0,0.14,0.15,-0.15,[Fe/H],0.294,0.02,-0.015,5734.0,50.0,-50.0,1.51,0.06,-0.06,1.04,0.13,-0.13,4.5,0.8,-0.8,25.0,6.0,-6.0,248.504,3.648,-3.546,10.899,0.011,-0.011,9.508,0.022,-0.022,1,1,0,-1,,,-1,393831507,4.009018273332089e+18,0.003,0.224,63.56568,0.02,0.2,0.008,5e-06,2.0,0.15,0.02,50.0,0.06,0.13,0.8,6.0,3.648,0.011,0.022,-16.22472350256858,,,,,
463,Kepler-1658 b,b,Kepler-1658,,,TIC 377873569,Gaia DR2 2052194374009877376,0.0544,0.0007,-0.0007,11.994,0.56,-0.56,1868.8404,149.3801,-146.2018,1.07,0.05,-0.05,5.88,0.47,-0.46,Mass,0.0628,0.0197,-0.0185,3.84937278,8e-07,-8e-07,,2.01,0.35,-0.35,-0.18,0.1,-0.1,[M/H],1.206,0.022,-0.029,6216.0,78.0,-78.0,2.89,0.13,-0.11,1.45,0.06,-0.06,33.95,0.97,-0.97,,,,788.238,17.434,-16.707,11.62,0.016,-0.016,10.195,0.023,-0.023,1,1,0,3861595,K00004.01,Kepler-1658 b,4,377873569,2.0521943740098772e+18,0.0007,0.56,149.3801,0.05,0.47,0.0197,8e-07,0.35,0.1,0.029,78.0,0.13,0.06,0.97,,17.434,0.016,0.023,-16.315371470922376,,,,,
464,GJ 463 b,b,GJ 463,,HIP 60398,TIC 147670988,Gaia DR2 1584088431025057792,3.53,0.07,-0.07,13.0,,,1144.18227,127.13136,-127.13136,1.16,,,3.6,0.4,-0.4,Mass,0.09,0.18,-0.05,3448.0,110.0,-88.0,M3 V,,,,,,,,-1.523,0.094,-0.119,3540.0,41.0,-41.0,0.49,0.02,-0.02,0.49,0.02,-0.02,2.0,,,14.0,,,18.3554,0.0109,-0.0109,11.595,0.058,-0.058,7.122,0.018,-0.018,1,1,0,-1,,,-1,147670988,1.5840884310250578e+18,0.07,,127.13136,,0.4,0.18,110.0,,,0.119,41.0,0.02,0.02,,,0.0109,0.058,0.018,-15.77858444136658,M,3.0, V,3.0,M3  V
465,HD 100546 b,b,HD 100546,HD 100546,HIP 56379,TIC 280773136,Gaia DR2 5233604915060520576,53.0,2.0,-2.0,77.342,30.264,-32.506,2701.54146,1271.31363,-1271.31363,6.9,2.7,-2.9,8.5,4.0,-4.0,Mass,,,,,,,B9 Vne,0.006,0.005,-0.005,,,,,1.5,,,10500.0,,,1.85,0.04,-0.05,2.4,0.1,-0.1,,,,,,,109.677,0.621,-0.613,6.69,0.03,-0.03,5.418,0.023,-0.023,1,1,0,-1,,,-1,280773136,5.233604915060521e+18,2.0,32.506,1271.31363,2.9,4.0,,,0.005,,,,0.05,0.1,,,0.621,0.03,0.023,-14.308287860565281,B,9.0, V,59.0,B9  V
466,HD 190984 b,b,HD 190984,HD 190984,HIP 99496,TIC 466222634,Gaia DR2 6429295051154269440,5.5,,,13.0,,,1137.8257,381.39409,-143.02278,1.16,,,3.58,1.2,-0.45,Mass,0.57,0.1,-0.1,4885.0,1600.0,-1600.0,F8 V,,,,-0.48,0.06,-0.06,[Fe/H],0.43,,,5988.0,25.0,-25.0,1.53,,,0.91,,,3.4,,,,,,148.187,0.989,-0.976,8.76,0.03,-0.03,7.319,0.016,-0.016,1,1,0,-1,,,-1,466222634,6.429295051154269e+18,,,381.39409,,1.2,0.1,1600.0,,0.06,,25.0,,,,,0.989,0.03,0.016,-15.639676947161416,F,8.0, V,38.0,F8  V
467,HD 204313 b,b,HD 204313,HD 204313,HIP 106006,TIC 99734092,Gaia DR2 6828450688663428224,3.185,0.13,-0.143,12.9,,,1466.7781,409.99865,-97.25549,1.15,,,4.615,1.29,-0.306,Mass,0.1,0.003,-0.003,2041.11539,1.68088,-1.86675,G5 V,3.38,2.58,-2.58,0.18,0.02,-0.02,[Fe/H],0.1,0.002,-0.002,5767.0,17.0,-17.0,1.1,0.02,-0.02,1.03,0.13,-0.13,2.4,,,,,,47.7945,0.1455,-0.1446,7.99,0.03,-0.03,6.459,0.018,-0.018,1,3,0,-1,,,-1,99734092,6.828450688663428e+18,0.143,,409.99865,,1.29,0.003,1.86675,2.58,0.02,0.002,17.0,0.02,0.13,,,0.1455,0.03,0.018,-14.986812580460308,G,5.0, V,25.0,G5  V
468,TOI-2236 b,b,TOI-2236,,,TIC 394722182,Gaia DR2 4613145315172329984,0.05009,0.0008,-0.00082,14.37,0.359,-0.347,502.16888,127.13136,-123.95308,1.282,0.032,-0.031,1.58,0.4,-0.39,Mass,0.0,0.048,-0.052,3.5315902,2.6e-06,-2.6e-06,,2.52,0.89,-0.82,0.119,0.081,-0.078,[Fe/H],0.533,0.017,-0.024,6248.0,72.0,-77.0,1.57,0.03,-0.03,1.34,0.07,-0.07,,,,,,,355.59,2.461,-2.427,11.6,0.015,-0.015,9.96,0.021,-0.021,1,1,0,-1,,,-1,394722182,4.613145315172329e+18,0.00082,0.359,127.13136,0.032,0.4,0.052,2.6e-06,0.89,0.081,0.024,77.0,0.03,0.07,,,2.461,0.015,0.021,-16.296955813472657,,,,,
469,TOI-2207 b,b,TOI-2207,,,TIC 90850770,Gaia DR2 6675883485986480256,0.0854,0.0015,-0.0016,11.153,0.314,-0.303,203.41018,31.78284,-38.13941,0.995,0.028,-0.027,0.64,0.1,-0.12,Mass,0.174,0.048,-0.052,8.001968,2.4e-05,-2.5e-05,,3.3,1.3,-1.1,0.181,0.086,-0.086,[Fe/H],0.484,0.015,-0.016,6101.0,75.0,-73.0,1.56,0.04,-0.04,1.3,0.07,-0.07,,,,,,,373.345,6.487,-6.273,11.316,0.019,-0.019,10.133,0.023,-0.023,1,1,0,-1,,,-1,90850770,6.67588348598648e+18,0.0016,0.314,38.13941,0.028,0.12,0.052,2.5e-05,1.3,0.086,0.016,75.0,0.04,0.07,,,6.487,0.019,0.023,-16.388277414113166,,,,,
470,KELT-21 b,b,KELT-21,HD 332124,,TIC 203189770,Gaia DR2 2054523105274216704,0.05224,0.00035,-0.00034,17.777,0.437,-0.448,1242.7153,,,1.586,0.039,-0.04,3.91,,,Mass,0.0,,,3.6127647,3.3e-06,-3.3e-06,A8 V,1.6,0.1,-0.1,-0.405,0.032,-0.033,[Fe/H],0.905,0.028,-0.03,7598.0,81.0,-84.0,1.64,0.03,-0.03,1.46,0.03,-0.03,146.03,0.48,-0.48,,,,470.878,6.471,-6.3,10.484,0.006,-0.006,10.09,0.014,-0.014,1,1,0,-1,,,-1,203189770,2.0545231052742167e+18,0.00035,0.448,,0.04,,,3.3e-06,0.1,0.033,0.03,84.0,0.03,0.03,0.48,,6.471,0.006,0.014,-16.16887353551857,A,8.0, V,48.0,A8  V
471,TOI-2447 b,b,TOI-2447,,,TIC 1167538,Gaia DR2 4877544322252002048,0.347,0.029,-0.026,9.606,0.135,-0.123,124.90656,9.85268,-8.58137,0.857,0.012,-0.011,0.393,0.031,-0.027,Mass,0.17,0.02,-0.1,69.33684,9e-05,-0.00011,,2.1,1.0,-1.0,0.18,0.08,-0.08,[Fe/H],0.049,0.012,-0.014,5730.0,80.0,-80.0,1.01,0.01,-0.01,1.03,0.03,-0.03,3.5,0.6,-0.6,13.0,,,148.987,0.615,-0.61,10.507,0.006,-0.006,9.12,0.026,-0.026,1,1,0,-1,,,-1,1167538,4.877544322252002e+18,0.029,0.135,9.85268,0.012,0.031,0.1,0.00011,1.0,0.08,0.014,80.0,0.01,0.03,0.6,,0.615,0.006,0.026,-16.025353485819778,,,,,
472,KOI-984 c,c,KOI-984,,,TIC 122784501,,0.1467,0.0015,-0.0015,14.1,,,209.8,40.0,-40.0,1.25,,,0.6601,0.12585,-0.12585,Mass,0.38,0.02,-0.02,21.512,0.0004,-0.0004,,1.3,1.3,-1.3,0.12,0.1,-0.1,[Fe/H],-0.324,,,5295.0,150.0,-150.0,0.82,0.03,-0.03,0.93,0.03,-0.03,,,,,,,252.667,,,12.795,0.021,-0.021,10.016,0.021,-0.021,1,2,0,1161345,,Kepler-1973 c,-1,122784501,,0.0015,,40.0,,0.12585,0.02,0.0004,1.3,0.1,,150.0,0.03,0.03,,,,0.021,0.021,-16.85715378295087,,,,,
473,KELT-23 A b,b,KELT-23 A,,,TIC 458478250,Gaia DR2 1644692064543192704,0.03302,0.00068,-0.00064,14.83,0.28,-0.28,298.12454,15.25584,-13.98452,1.323,0.025,-0.025,0.938,0.048,-0.044,Mass,0.0,,,2.255251,1.1e-05,-1.2e-05,G2 V,6.4,3.5,-3.2,-0.105,0.078,-0.077,[Fe/H],0.034,0.02,-0.02,5899.0,49.0,-49.0,1.0,0.02,-0.02,0.94,0.06,-0.05,2.42,0.5,-0.5,,,,126.261,0.352,-0.351,10.308,0.005,-0.005,8.904,,,2,1,0,-1,,,-1,458478250,1.6446920645431926e+18,0.00068,0.28,15.25584,0.025,0.048,,1.2e-05,3.5,0.078,0.02,49.0,0.02,0.06,0.5,,0.352,0.005,,-15.896595184554227,G,2.0, V,22.0,G2  V
474,TOI-2583 A b,b,TOI-2583 A,,,TIC 7548817,Gaia DR2 2115776451371641984,0.0571,0.001,-0.0013,14.46,0.448,-0.37,79.4571,18.43405,-17.79839,1.29,0.04,-0.033,0.25,0.058,-0.056,Mass,0.0,,,4.5207265,4.9e-06,-4.9e-06,,4.4,1.9,-1.2,0.158,0.084,-0.085,[Fe/H],0.388,0.015,-0.015,5936.0,65.0,-68.0,1.48,0.04,-0.03,1.22,0.06,-0.08,,,,,,,566.189,6.47,-6.328,12.586,0.15,-0.15,11.245,,,2,1,0,-1,,,-1,7548817,2.1157764513716416e+18,0.0013,0.448,18.43405,0.04,0.058,,4.9e-06,1.9,0.085,0.015,68.0,0.04,0.08,,,6.47,0.15,,-16.845979590383923,,,,,
475,TOI-6029 b,b,TOI-6029,,,TIC 419523962,Gaia DR2 430269136520563200,,,,14.392,1.098,-1.098,519.64945,10.17051,-10.17051,1.284,0.098,-0.098,1.635,0.032,-0.032,Mass,0.091,0.017,-0.015,5.7987,0.0004,-0.0004,,2.31,0.58,-0.19,0.37,0.06,-0.06,[Fe/H],0.799,0.018,-0.021,6223.0,100.0,-100.0,2.34,0.03,-0.09,1.55,0.03,-0.09,10.4,1.0,-1.0,,,,603.119,11.717,-11.286,12.858,0.038,-0.038,10.369,0.023,-0.023,1,1,0,-1,,,-1,419523962,4.302691365205632e+17,,1.098,10.17051,0.098,0.032,0.017,0.0004,0.58,0.06,0.021,100.0,0.09,0.09,1.0,,11.717,0.038,0.023,-16.489862755678843,,,,,
476,M62H b,b,M62H,,,,,,,,,,,785.03617,,,,,,2.47,,,Mass,,,,0.13293503,1e-08,-1e-08,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,1,1,0,-1,,,-1,-1,,,,,,,,1e-08,,,,,,,,,,,,,,,,,
477,GJ 328 b,b,GJ 328,,HIP 43790,TIC 265373654,Gaia DR2 577602496345490176,4.11,0.16,-0.18,13.3,,,797.7493,73.10053,-73.10053,1.18,,,2.51,0.23,-0.23,Msini,0.227,0.015,-0.015,3771.0,17.0,-17.0,M0.0,,,,-0.06,0.09,-0.09,[Fe/H],-1.08,0.1,-0.1,3897.0,71.0,-71.0,0.63,0.07,-0.07,0.65,0.08,-0.08,,,,,,,20.5266,0.01685,-0.01685,9.99,0.1,-0.1,6.352,0.026,-0.026,1,2,0,-1,,,-1,265373654,5.776024963454902e+17,0.18,,73.10053,,0.23,0.015,17.0,,0.09,0.1,71.0,0.07,0.08,,,0.01685,0.1,0.026,-15.432690773911618,M,0.0,,0.0,M0.0 
